Bank,Period,Indicator table,Element,Sub-element,AZN,FS Line,Item,Currency,Amount vs Share,Total,31-60 days,61-90 days,91+ days,31-60 days_share%inLP,61-90 days_share%inLP,91+ days_share%inLP
abb_bank,2022_Q2,Balance Sheet,1.10,ASSETS,33218214.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.3,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.4,ASSETS,1564548.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.1,ASSETS,87079164.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.2,ASSETS,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.3,ASSETS,797065.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.4,ASSETS,0.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.5.5,ASSETS,-26518604.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.6,ASSETS,18308024.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.7,ASSETS,1588182.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.8,ASSETS,0.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,1.9,ASSETS,-10766858.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.1.1,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.1.2,LIABILITY,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.2,LIABILITY,788.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.3,LIABILITY,45071174.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.4,LIABILITY,6100122.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.5,LIABILITY,1739836.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.6,LIABILITY,1607753.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.7,LIABILITY,0.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,2.8,LIABILITY,22995417.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.1,EQUITY,,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.2,EQUITY,0.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.3,EQUITY,17970699.0,,,,,,,,,,,
abb_bank,2022_Q2,Balance Sheet,3.4,EQUITY,15416273.0,,,,,,,,,,,
