,"784.132,68","133.778,53","0,00",,"0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","784.132,68","133.778,53"
"mübadiləsi şöbələrində, yolda)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. AMB-na olan tələblər (məcburi ehtiyat fondu və ya müxbir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"575.224,61","224.099,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"264.138,67","55.492,50","839.363,28","279.592,34"
hesabları),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"olmaqla, digər maliyyə institutlarına kreditlər",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a) cari kreditlər,"0,00","0,00","0,00","0,00","140,00",,"0,00","0,00","0,00","1.100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","420,75","0,00","0,00","0,00","0,00","0,00","300,00","0,00","2.743,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.704,43","0,00"
a1) Rezident,"0,00","0,00","0,00","0,00","140,00",,"0,00","0,00","0,00","1.100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","420,75","0,00","0,00","0,00","0,00","0,00","300,00","0,00","2.743,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.704,43","0,00"
a2) Qeyri-rezident,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
b) vaxtı keçmiş  kreditlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
b1)Rezident,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
b2) Qeyri-rezident,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
11. Müştərilərə verilən kreditlər,"14.902,26","683,07","41.143,84","25.014,00","10.825,40",,"0,00","27.570,57","96,85","115.884,75","1.466,06","60.786,75","121,95","77.636,52","123,51","79.470,54","843,23","86.411,06","4.422,39","102.592,61","25.144,32","70.348,44","968,21","67.131,09","768,09","66.955,74","254,75","60.020,51","821,17","90.160,16","785,36","1.226.458,00","224.497,19","371.919,67","10.538,30","208.797,35","3.137,68","378.754,04","1.862,32","3.157.769,30","301.548,45"
a) cari kreditlər,"14.902,26","683,07","41.143,84","25.014,00","10.825,40",,"0,00","27.570,57","96,85","115.884,75","1.466,06","60.786,75","121,95","77.636,52","123,51","79.470,54","843,23","86.411,06","4.422,39","102.592,61","25.144,32","70.348,44","968,21","67.131,09","768,09","66.955,74","254,75","60.020,51","821,17","90.160,16","785,36","1.226.458,00","224.497,19","371.919,67","10.538,30","208.797,35","3.137,68","333.754,42","0,00","3.112.769,68","299.686,13"
b) vaxtı keçmiş kreditlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","44.999,62","1.862,32","44.999,62","1.862,32"
12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","77.278,45","0,00","77.278,45","0,00"
istifadə olunmayan əsas vəsaitlər daxil olmaqla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","42.822,15","8.461,09","42.822,15","8.461,09"
iştirakı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Qeyri-maddi aktivlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26.867,43","0,00","26.867,43","0,00"
15. Digər aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"321.277,04","28.400,55","321.277,04","28.400,55"
16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","413.966,95","4.837,52","413.966,95","4.837,52"
məqsədli ehtiyatlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17. Cəmi aktivlər,"1.496.547,18","480.849,07","81.951,75","35.368,20","38.201,89",,"0,00","218.488,14","84.592,25","233.269,04","1.735,16","157.212,14","1.768,44","170.674,50","2.546,82","172.453,92","843,23","143.440,61","12.305,77","223.493,61","25.484,32","119.081,88","1.002,93","88.757,32","1.961,49","198.898,19","82.472,30","363.648,79","11.361,17","216.339,73","20.256,46","1.724.470,83","462.941,74","797.565,67","132.100,20","459.312,27","152.286,83","918.356,96","89.378,94","7.822.164,42","1.599.255,32"
