,,,,,1-30 gün,31-60 gün,61-90 gün,91-120 gün,121-150 gün,gün,181-210 gün,211-240 gün,241-270 gün,gün,gün,(366) gün,artıq
"Kredit portfeli, o cümlədən",,,"4,783,112","4,440,450","248,655","22,565","14,946","7,543","6,601","7,777","3,981","3,643","3,232","3,109","2,964","4,874","12,773"
-Biznes,,,"1,610,211","1,554,499","35,786","2,011","3,427",896,"1,308","2,827",166,482,225,647,191,"2,035","5,710"
-İstehlak,,,"2,562,435","2,317,183","173,821","19,377","10,493","6,504","5,265","4,950","3,815","3,161","3,007","2,461","2,773","2,839","6,785"
-Daşınmaz əmlak,,,"610,467","568,767","39,048","1,178","1,025",143,28,,,,,,-,,278
-Digər kreditlər,,,,,,,,,,,,,,,,,
Kreditlərin təminat üzrə bölgüsü,,,,,,,,,,,,,,,,,
,,,,,,,,min manatla,,Kredit,,,,,,,
,Kredit portfelinin sektorlar üzrə bölgüsü,Cəmi,,Təminatsız,Nağd vəsaitlə təmin,Qızıl təminatlı,Daşınmaz əmlakla,Daşınar əmlakla təmin,Qarantiyalar ilə,törəmə,,,,,,,
,,,,,olunan,,təmin olunan,olunan,təmin olunan,alətləri ilə,,,,,,,
"Kredit portfeli, o cümlədən",,,"4,783,112","3,269,664","409,275",-,"1,073,830","30,343",-,"təmin 
  -",,,,,,,
-Biznes,,,"1,610,211","752,993","363,512",-,"463,363","30,343",-,-,,,,,,,
-İstehlak,,,"2,562,435","2,516,672","45,763",-,-,-,-,-,,,,,,,
-Daşınmaz əmlak,,,"610,467",-,-,-,"610,467",-,-,-,,,,,,,
-Digər kreditlər,,-,,-,-,-,-,-,-,-,,,,,,,
,,,,Likvidlik riski,,,,,,,,,min manatla,,,,
,,Ödəniş müddətinin bitməsinə qalan günlər,,Ani,1 - 7 gün,8-90 gün,3-6 ay,6 ay- 9 ay,9 ay-1 il,1-2 il,2-5 il,5 ildən çox,Ümumi,,,,
,2.3.2,b) müddətli depozitlər,,"1,988,641","1,674,074","314,567",0,0,,,,,,,,,
,2.4,Subordinasiya öhdəlikləri,,"127,500",0,"127,500",0,0,,,,,,,,,
,2.5,Borc qiymətli kağızları,,"100,000","100,000",0,0,0,,,,,,,,,
,2.6,Digər öhdəliklər,,"358,169","342,278","11,507","4,069",316,,,,,,,,,
,3,Balans kapital,,"967,891","967,891",0,0,0,,,,,,,,,
,,Öhdəliklərin və kapitalın cəmisi,,"9,984,543","8,532,849","1,355,908","86,345","9,442",,,,,,,,,
,,,,,,,,faizlə,,,,,,,,,
,3,Açıq valyuta mövqeyi əmsalı,,,,8.70%,-0.58%,-0.37%,,,,,,,,,
,3.1,Sərbəst dönərli valyutalar üzrə məcmu açıq valyuta mövqeyi (AVM),,8.17%,,,,,,,,,,,,,
,3.2,Qapalı valyuta üzrə məcmu AVM,,-0.42%,,,,,,,,,,,,,
,3.3,Qiymətli metallar üzrə AVM,,0.00%,,,,,,,,,,,,,
,3.4,Məcmu AVM,,4.35%,,8.70%,-0.58%,-0.37%,,,,,,,,,
,,Faiz riski,,min manatla,,,,,,,,,,,,,
,1,Faiz dərəcəsinə görə cəmi aktivlər,,"6,908,673",,,,,,,,,,,,,
,1.1,0-3 ay,,"1,724,282",,,,,,,,,,,,,
,1.2,3-6 ay,,"728,229",,,,,,,,,,,,,
,1.3,6-12 ay,,"1,179,443",,,,,,,,,,,,,
,1.4,12-24 ay,,"1,757,444",,,,,,,,,,,,,
,1.5,24-36 ay,,"729,613",,,,,,,,,,,,,
,1.6,36 aydan yuxarı,,"789,662",,,,,,,,,,,,,
,2,Faiz dərəcəsinə həssas cəmi öhdəliklər,,"5,919,134",,,,,,,,,,,,,
,2.1,0-3 ay,,"2,273,659",,,,,,,,,,,,,
,2.2,3-6 ay,,"738,760",,,,,,,,,,,,,
,2.3,6-12 ay,,"1,899,493",,,,,,,,,,,,,
