,tot-ins,FXAZNEqui-ins,tot-1-7,FXAZNEqui-1-7,tot-8-14,FXAZNEqui-8-,,tot-15-30,FXAZNEqui-15-,tot-31-60,FXAZNEqui-31-,tot-61-90,FXAZNEqui-61-,tot-91-120,FXAZNEqui-91-,tot-121-150,FXAZNEqui-121-,tot-151-180,FXAZNEqui-151-,tot-181-210,FXAZNEqui-181-,tot-211-240,FXAZNEqui-211-,tot-241-270,FXAZNEqui-241-,tot-271-300,FXAZNEqui-271-,tot-301-300,FXAZNEqui 301-,tot-331-365,FXAZNEqui-331-,tot-1-2,FXAZNEqui-1-2,Tot-2-3,FXAZNEqui-2-3,tot-3-5,FXAZNEqui-3-5,tot>5,FXAZNEqui>5,tot-tot,FXAZNEqui-tot
,,,,,,14,,,30,,60,,90,,120,,150,,180,,210,,240,,270,,300,,330,,365,,,,,,,,,,
b1)Rezident,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
b2) Qeyri-rezident,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,"0,00","0,00"
11. Müştərilərə verilən kreditlər,"19.727,56","647,22","30.564,71","40,08","10.543,43",,"0,00","33.440,16","97,30","95.428,93","840,37","92.443,64","3.717,29","106.631,71","25.145,08","77.068,76","964,81","73.888,96","767,99","73.313,87","387,19","66.253,01","1.031,17","79.025,03","784,90","93.077,71","25.100,74","65.342,55","833,53","79.503,09","1.027,38","1.247.996,05","174.800,71","324.955,01","4.918,20","247.919,51","6.247,06","407.883,20","1.705,19","3.225.006,89","249.056,21"
a) cari kreditlər,"19.727,56","647,22","30.564,71","40,08","10.543,43",,"0,00","33.440,16","97,30","95.428,93","840,37","92.443,64","3.717,29","106.631,71","25.145,08","77.068,76","964,81","73.888,96","767,99","73.313,87","387,19","66.253,01","1.031,17","79.025,03","784,90","93.077,71","25.100,74","65.342,55","833,53","79.503,09","1.027,38","1.247.996,05","174.800,71","324.955,01","4.918,20","247.919,51","6.247,06","358.703,28","605,51","3.175.826,97","247.956,53"
b) vaxtı keçmiş kreditlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","49.179,92","1.099,68","49.179,92","1.099,68"
12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","79.364,34","0,00","79.364,34","0,00"
olunmayan əsas vəsaitlər daxil olmaqla),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","42.822,15","8.461,09","42.822,15","8.461,09"
14. Qeyri-maddi aktivlər,"0,00","0,00","0,00","0,00","0,00",,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25.653,14","0,00","25.653,14","0,00"
15. Digər aktivlər,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"305.786,61","8.939,09","305.786,61","8.939,09"
