"","ani","","1-7","","8-14","","15-30","","31-60","","61-90","","91-120","","121-150","","151-180","","181-210","","211-240","","241-270","","","271-300","","301-330","","331-365 (366)","","1-2 il","","2-3 il","","3-5 il","","5 ildən artıq","","Cəmi",""
"a1) Rezident","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25,00","0,00","0,00","0,00","1 000,00","0,00","200,00","0,00","100,00","0,00","100,00","0,00","0,00","","0,00","0,00","0,00","500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","1 925,00","0,00"
"a2) Qeyri-rezident","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"b) vaxtı keçmiş  kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"b1)Rezident","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"b2) Qeyri-rezident","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","","0,00","0,00"
"11. Müştərilərə verilən kreditlər","28 927,54","5 283,58","2 799,55","77,28","8 392,25","1 882,74","24 799,02","5 295,60","82 625,06","9 444,16","43 127,60","2 400,14","58 605,86","7 406,46","53 225,88","2 266,92","53 794,44","2 219,63","48 778,37","1 096,07","47 074,48","93,59","47 074,73","","56,82","46 383,37","1 838,17","50 177,59","4 148,49","87 233,89","35 980,35","711 426,97","62 891,84","345 238,16","117 884,62","195 642,50","124 368,76","240 623,40","3 131,24","2 175 950,66","387 766,46"
"a) cari kreditlər","28 927,54","5 283,58","2 799,55","77,28","8 392,25","1 882,74","24 799,02","5 295,60","82 625,06","9 444,16","43 127,60","2 400,14","58 605,86","7 406,46","53 225,88","2 266,92","53 794,44","2 219,63","48 778,37","1 096,07","47 074,48","93,59","47 074,73","","56,82","46 383,37","1 838,17","50 177,59","4 148,49","87 233,89","35 980,35","711 426,97","62 891,84","345 238,16","117 884,62","195 642,50","124 368,76","186 193,26","0,00","2 121 520,52","384 635,22"
"b) vaxtı keçmiş kreditlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","54 430,14","3 131,24","54 430,14","3 131,24"
"12. Amortizasiya çıxılmaqla əsas vəsaitlər (bank işində istifadə","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","63 217,16","0,00","63 217,16","0,00"
"olunmayan əsas vəsaitlər daxil olmaqla)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13. İcmallaşmamış şirkətlərdə investisiyalar və maliyyə iştirakı","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","10 560,42","4 782,00","10 560,42","4 782,00"
"14. Qeyri-maddi aktivlər","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","24 290,96","0,00","24 290,96","0,00"
"15. Digər aktivlər","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194 017,68","22 809,47","194 017,68","22 809,47"
"16. (çıx) Aktivlər üzrə mümkün zərərlərin ödənilməsi üçün","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","293 634,73","4 693,89","293 634,73","4 693,89"
"məqsədli ehtiyatlar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17. Cəmi aktivlər","1 845 215,07","711 885,39","43 308,82","77,28","105 677,72","2 049,86","136 811,07","9 285,52","167 578,23","11 968,06","114 315,26","5 462,14","159 328,89","23 936,80","62 579,89","4 040,02","77 038,72","10 705,10","87 166,41","5 089,92","50 225,98","3 145,09","47 908,53","","890,62","83 443,05","2 995,76","51 890,93","5 361,83","94 919,09","37 534,85","1 025 936,59","78 170,56","428 145,43","141 081,03","320 895,10","249 621,36","325 086,76","55 761,96","5 227 471,54","1 359 063,15"
